Latitude,Longitude,Place
35.72864181,-0.78457415,'Ain el Turk
56.12167294,95.69930169,Kansk
42.14244103,26.17467801,Topolovgrad
33.3384599,36.4110293,Al Ghizlaniyah
39.98747075,44.55951425,Aygestan
40.32901717,128.67904492,Iwon-up
30.69587575,32.33569444,Ismailia
35.09349477,35.92805636,Ar Rawdah
35.62063581,-0.62834874,Es Senia
46.67509086,38.24071063,Yeysk
41.11639222,28.81567879,Basaksehir
33.56729971,36.64186011,Ad Dumayr
39.91955657,52.93401334,Turkmenbasy
40.0119327,128.25076343,Yuktae-dong
35.71831121,-0.55051726,Bir el Djir
46.04329931,38.22522854,Primorsko-Akhtarsk
41.14090065,29.69618356,Karacakoy
33.528919,36.70575436,Ad Dumayr
39.88061278,127.82306955,Samho-rodongjagu
44.51070113,120.97122137,Lubei
46.02872147,38.28265738,Primorsko-Akhtarsk
39.6145525,27.93740818,Balikesir
33.55669133,36.75477288,Ad Dumayr
39.7922958,127.56745778,Hungnam
45.84584291,122.45541528,Ping'an
45.41299663,37.97348429,Petrovskaya
39.58692183,26.29510282,Behram
33.52306064,36.80102721,Ad Dumayr
38.79189502,125.16251346,Namp'o
50.9301168,128.52229237,Belogorsk
44.63860446,37.81589192,Myskhako
36.90553835,30.81717678,Aksu
33.6875863,37.21878498,As Sab` Biyar
15.93955926,108.21130888,Quang Nam
45.054509,38.97740848,Krasnodar
-6.84156883,39.33911081,Dar es Salaam
34.52574523,36.77306235,Hisya
15.93135368,108.28446331,Quang Nam
44.95466691,41.13071829,Zavetnyy
-6.83471606,39.21760765,Magomeni
34.57649822,36.71051803,Al Qusayr
20.92091371,106.8375172,Quang Yen
45.83519009,40.09767467,Tikhoretsk
-6.78453002,39.19814653,Magomeni
34.58688159,36.70713038,Homs
21.01426397,106.72777098,Thanh Pho Uong Bi
46.52197911,39.55788796,Kushchevskaya
-6.18146967,39.25795632,Koani
34.59158161,36.76006552,Homs
45.84584291,122.45541528,Ping'an
42.4653063,27.31396137,Kameno
36.70526807,27.6125071,Datca
33.55650522,36.23165337,Qadsiya
36.13305459,37.31017061,As Safirah
47.25777387,39.65605511,Severnyy
45.11017313,33.99641164,Rodnykove
50.18504953,28.77481766,Ozerne
27.10181463,31.28038651,Abu Tij
57.58699867,39.90656168,Yaroslavl
28.8108314,50.95420446,Bandar-e Bushehr
44.82147746,44.03385685,Budennovsk
-6.25970846,39.29901862,Koani
34.60997335,36.79072819,Homs
43.77290077,44.60374133,Mozdok
-6.11220587,35.74641396,Dodoma
34.62921232,36.76407453,Homs
46.38931466,47.90897498,Starokucherganovka
-15.53878754,28.37641031,Lusaka
34.64923185,36.75103228,Homs
47.28311842,47.42024322,Tambovka
-15.35219914,28.29182731,Lusaka
34.65314575,36.80863935,Homs
64.86448611,77.78804538,Tarko-Sale
-19.81895549,34.97637426,Beira
34.69053479,36.8006233,Homs
67.56709466,134.79691617,Batagay
34.68392921,36.57969296,Khirbat Tin Nur
62.07444257,129.78062399,Markha
34.64223182,36.60404901,Khirbat Tin Nur
53.19875358,34.27934222,Suponevo
35.19895631,36.92688158,Hamah
56.66149989,32.24808255,Andreapol'
35.20460355,36.90224494,Hamah
58.77927113,28.05133968,Gdov
50.9301168,128.52229237,Belogorsk
43.22006785,27.98195756,Varna
36.70974309,27.5968368,Datca
33.45076035,36.14374798,Qatana
36.17543254,37.26422442,Aleppo
47.38656885,40.10499747,Novocherkassk
47.76510377,-122.2000996,Bothell
53.05745651,26.0483759,Baranovichi
27.13192583,31.19056537,Asyut
57.56013192,40.27893419,Nekrasovskoye
28.92537071,50.87509327,Bandar-e Bushehr
51.72567833,107.42162714,Sokol
51.83944267,107.47000445,Sotnikovo
51.84280935,107.73043543,Ulan-Ude
51.89751235,108.15133756,Onokhoy
11.85090128,13.08829993,Maiduguri
55.0379606,-2.55523022,Greenhead
55.02711056,-2.51503995,Greenhead
55.01499663,-2.59521502,Greenhead
15.93955926,108.21130888,Quang Nam
44.37525333,25.6658327,Bucsani
38.93537463,24.50566599,Skyros
33.40033237,36.14109625,Qatana
36.2169466,37.33545012,As Safirah
50.78631622,40.63180199,Buturlinovka
17.10944253,96.09773697,Thanatpin
53.09164829,26.05411051,Baranovichi
27.13162027,31.17130974,Asyut
59.11315592,40.09473221,Vologda
28.93069851,50.84076426,Bandar-e Bushehr
15.93135368,108.28446331,Quang Nam
44.17214691,25.8456856,Schitu
37.73552514,24.04039668,Lavrio
33.38444897,36.17955435,Sahnaiya
36.04847091,37.36963541,As Safirah
51.35238517,42.20073928,Borisoglebsk
19.58177941,96.22242711,Pyinmana
49.49944715,34.5524566,Poltava
27.16377315,31.31654462,Abu Tij
60.00716122,37.89087966,Belozersk
29.24603301,50.33177351,Khark
20.92091371,106.8375172,Quang Yen
44.09656326,26.10508566,Pietrele
38.22661331,23.97065446,Grammatiko
33.39524068,36.21484439,Sahnaiya
35.92977042,37.29910015,Banan
51.30944611,37.79868018,Staryy Oskol
19.61003504,96.20876537,Pyinmana
39.12458509,127.62242105,Anbyon-up
23.89295274,32.863381,Aswan
61.88198567,34.12014472,Shuya
33.88883988,51.58297362,Kashan
21.01426397,106.72777098,Thanh Pho Uong Bi
38.32561929,23.57620038,Schimatari
35.09349477,35.92805636,Ar Rawdah
38.02170968,46.23769348,Tabriz
48.51749024,39.38705373,Luhansk
39.06512932,127.4195583,Wonsan
23.94510011,32.8580018,Aswan
62.74433784,40.469756,Mirnyy
44.46117037,25.98968989,Chiajna
52.36685032,20.7160723,Nowy Dwor Mazowiecki
42.40821161,130.69405928,Ungsang-nodongjagu
38.44076421,23.51602351,Dhrosia
52.63904861,39.46680539,Kuz'minskiye Otverzhki
38.06343207,46.09375427,Osku
52.28508889,16.96394506,Daszewice
38.80918397,128.08981752,T'ongch'on-up
23.94822789,32.86641072,Aswan
63.35054486,40.52811896,Samoded
44.6327211,25.6599437,Lunguletu
52.42231998,20.91515459,Legionowo
51.51761916,45.8684206,Sokolovyy
38.63211224,24.16695785,Kymi
32.78020491,36.40922098,Al Mazra`ah
37.95613162,46.19416905,Osku
49.69089787,18.22004842,Brusperk
38.68606131,127.66901341,Hoeyang
23.98901967,32.88190165,Aswan
62.84985199,42.70432844,Bereznik
44.91118617,25.64603722,Mija
55.034244,-2.583788,Greenhead
53.53104432,9.89673138,Altona
22.34693771,114.1025065,Tsuen Wan
2.61610632,10.03254197,Kribi
-34.5802956,-58.38650128,Retiro
2.60870009,10.02444162,Rio Campo
13.69491067,100.75210033,Lat Krabang
-4.04422038,137.1012121,Beoga
5.2919736,-52.84534561,Sinnamary
13.69578819,100.75214758,Lat Krabang
41.71685276,-118.06338169,Winnemucca
1.80752846,-78.2394343,San Jose
-19.50293698,169.41893111,Isangel
40.12223006,-82.7254564,Johnstown
8.97679545,-79.61638033,Arraijan
40.5588679,-112.20067623,Tooele
-4.04150383,137.10118283,Beoga
8.97451963,-79.61661028,Arraijan
5.29532768,-52.84526347,Sinnamary
3.77136967,-77.09127371,Buenaventura
30.55278021,-96.46282861,College Station
13.69414815,100.75212134,Lat Krabang
13.69348971,100.75212064,Lat Krabang
25.5073291,36.94481154,Umm Lajj
41.70718491,-118.06473143,Winnemucca
22.34934793,114.10221778,Tsuen Wan
22.34852819,114.10230233,Tsuen Wan
-33.83707602,116.03634305,Bridgetown
1.80323095,-78.23929272,San Jose
41.72820116,-118.06395677,Winnemucca
-33.36804322,-70.81124117,Lampa
24.07620112,69.37701204,Diplo
-30.7372302,121.48354804,Kalgoorlie
35.12639776,129.04232491,Busan
37.95985972,-119.74377367,Yosemite Valley
40.70038629,-74.16095937,Newark
21.74369016,39.06692691,Jeddah
-19.50261521,169.4189078,Isangel
41.69580011,-93.72840894,Johnston
8.97356382,-79.61667176,Arraijan
36.10590811,-115.18054333,Paradise
-1.33506944,29.35295172,Musanze
37.79111347,-117.5997819,Goldfield
43.10585057,-77.44522047,Fairport
37.96235813,-119.74375196,Yosemite Valley
40.5581575,-112.20070786,Tooele
39.11155125,-111.84804749,Centerfield
-33.83786793,116.03621348,Bridgetown
3.77307229,-77.09088758,Buenaventura
-33.3668097,-70.8113523,Lampa
38.54552822,-121.80340454,Davis
39.55246817,-119.46670998,Stagecoach
-34.58063304,-58.38649007,Retiro
30.55392451,-96.46283481,College Station
-12.42861739,-69.35006134,Puerto Maldonado
33.75636417,-118.27888878,San Pedro
-37.82249065,144.89243435,Spotswood
41.70063527,-118.06477373,Winnemucca
1.79567896,-78.2393283,San Jose
5.30969474,-52.84482994,Sinnamary
-19.50341415,169.41892519,Isangel
-33.36738506,-70.81130145,Lampa
24.07503714,69.37701522,Diplo
1.81056843,-78.23969576,San Jose
-33.86809303,150.68903021,Luddenham
53.53048041,9.89677123,Altona
8.97620633,-79.61641639,Arraijan
41.69663768,-93.72866254,Johnston
35.12803098,129.04224536,Busan
51.9073864,4.25412965,Maassluis
40.69915384,-74.16118466,Newark
22.34773583,114.10238685,Tsuen Wan
64.51891526,-110.35122196,Yellowknife
3.7842513,-77.09641608,Buenaventura
22.35116454,114.1021148,Tsuen Wan
13.69240735,100.75217215,Lat Krabang
42.78897627,-78.81310039,Blasdell
36.10700714,-115.18051146,Paradise
40.11987009,-82.72540743,Johnstown
46.94443247,-96.85050409,Oakport
32.14092828,-81.16363966,Port Wentworth
51.27863986,4.30445104,Zwijndrecht
-1.33537609,29.35296766,Musanze
25.02457195,55.04134542,Dubai
-4.04495752,137.10123728,Beoga
3.71972015,-66.8243094,San Fernando de Atabapo
40.49945019,-87.03871722,Otterbein
51.28231323,4.30459841,Zwijndrecht
41.73184014,-118.0640151,Winnemucca
19.18145618,73.04972806,Dombivli
56.29965553,44.01889701,Nizhniy Novgorod
50.04191122,22.00918422,Rzeszow
60.28205278,29.72063333,Il'ichevo
